0,0.040208,0.0146748,1.31E-02,0.0060795,,,,,,,,,0.0293496,2.62E-02,,,2
2.80E+08,71.25007481,11.04736879,4.41E+00,2.2741,9.43E-08,2.37E-08,1.25E-08,6.08E-09,4.38E-12,9.50E-13,4.26E-13,3.03E-13,22.09473758,8.82,,,
2.90E+08,76.31476646,11.65974751,4.65E+00,2.3954,9.39E-08,2.37E-08,1.25E-08,6.06E-09,4.29E-12,9.49E-13,4.26E-13,3.03E-13,23.31949502,9.3,,,
3.00E+08,81.61052588,12.2874098,4.90E+00,2.5183,9.35E-08,2.36E-08,1.24E-08,6.04E-09,4.21E-12,9.48E-13,4.26E-13,3.03E-13,24.5748196,9.8,,,
3.10E+08,87.52575472,12.9409571,5.15E+00,2.6453,9.36E-08,2.36E-08,1.24E-08,6.03E-09,4.11E-12,9.48E-13,4.26E-13,3.03E-13,25.8819142,10.3,,,
3.20E+08,93.77558824,13.61051599,5.41E+00,2.7745,9.35E-08,2.36E-08,1.24E-08,6.02E-09,4.02E-12,9.47E-13,4.26E-13,3.03E-13,27.22103198,10.82,,,
3.30E+08,100.3752502,14.29625203,5.67E+00,2.9057,9.35E-08,2.36E-08,1.24E-08,6.01E-09,3.92E-12,9.46E-13,4.25E-13,3.03E-13,28.59250406,11.34,,,
3.40E+08,107.3437716,14.9961767,5.94E+00,3.039,9.34E-08,2.36E-08,1.24E-08,6.01E-09,3.83E-12,9.45E-13,4.25E-13,3.03E-13,29.9923534,11.88,,,
3.50E+08,114.6964887,15.70906987,6.21E+00,3.1743,9.33E-08,2.37E-08,1.24E-08,6.00E-09,3.73E-12,9.44E-13,4.25E-13,3.03E-13,31.41813974,12.42,,,
3.60E+08,122.4527879,16.43598909,6.48E+00,3.3114,9.31E-08,2.37E-08,1.24E-08,5.99E-09,3.63E-12,9.43E-13,4.25E-13,3.03E-13,32.87197818,12.96,,,
3.70E+08,130.6268975,17.17612865,6.76E+00,3.4503,9.29E-08,2.37E-08,1.24E-08,5.98E-09,3.53E-12,9.42E-13,4.25E-13,3.03E-13,34.3522573,13.52,,,
3.80E+08,139.235931,17.93203285,7.05E+00,3.5908,9.26E-08,2.37E-08,1.23E-08,5.97E-09,3.44E-12,9.41E-13,4.24E-13,3.03E-13,35.8640657,14.1,,,
3.90E+08,148.2923601,18.69492518,7.33E+00,3.733,9.23E-08,2.37E-08,1.23E-08,5.97E-09,3.34E-12,9.40E-13,4.24E-13,3.02E-13,37.38985036,14.66,,,
4.00E+08,157.809946,19.47617672,7.62E+00,3.8766,9.19E-08,2.37E-08,1.23E-08,5.96E-09,3.24E-12,9.39E-13,4.24E-13,3.02E-13,38.95235344,15.24,,,
4.10E+08,167.3661983,20.21080723,7.90E+00,4.0118,9.14E-08,2.37E-08,1.23E-08,5.95E-09,3.14E-12,9.38E-13,4.24E-13,3.02E-13,40.42161446,15.8,,,
4.20E+08,177.3720267,20.95590397,8.18E+00,4.1475,9.08E-08,2.37E-08,1.23E-08,5.93E-09,3.04E-12,9.37E-13,4.23E-13,3.02E-13,41.91180794,16.36,,,
4.30E+08,187.8319171,21.71093956,8.46E+00,4.2848,9.02E-08,2.37E-08,1.23E-08,5.92E-09,2.94E-12,9.36E-13,4.23E-13,3.02E-13,43.42187912,16.92,,,
4.40E+08,198.7492854,22.47467916,8.74E+00,4.4226,8.94E-08,2.37E-08,1.22E-08,5.91E-09,2.85E-12,9.35E-13,4.23E-13,3.02E-13,44.94935832,17.48,,,
4.50E+08,210.1204768,23.24643966,9.03E+00,4.5606,8.85E-08,2.37E-08,1.22E-08,5.89E-09,2.75E-12,9.34E-13,4.23E-13,3.02E-13,46.49287932,18.06,,,
4.60E+08,221.9380006,24.02602517,9.31E+00,4.699,8.75E-08,2.37E-08,1.22E-08,5.88E-09,2.65E-12,9.33E-13,4.22E-13,3.02E-13,48.05205034,18.62,,,
4.70E+08,234.1881153,24.81272721,9.60E+00,4.8386,8.64E-08,2.37E-08,1.22E-08,5.87E-09,2.56E-12,9.32E-13,4.22E-13,3.02E-13,49.62545442,19.2,,,
4.80E+08,246.8507382,25.60613787,9.89E+00,4.9796,8.51E-08,2.37E-08,1.21E-08,5.85E-09,2.46E-12,9.31E-13,4.22E-13,3.02E-13,51.21227574,19.78,,,
4.90E+08,259.8967285,26.40570023,1.02E+01,5.1183,8.36E-08,2.37E-08,1.21E-08,5.84E-09,2.37E-12,9.30E-13,4.22E-13,3.02E-13,52.81140046,20.4,,,
5.00E+08,273.289333,27.21078298,1.05E+01,5.2594,8.20E-08,2.37E-08,1.21E-08,5.82E-09,2.27E-12,9.29E-13,4.22E-13,3.02E-13,54.42156596,21,,,
5.10E+08,287.6018715,28.03928743,1.08E+01,5.4016,8.03E-08,2.37E-08,1.21E-08,5.81E-09,2.17E-12,9.28E-13,4.21E-13,3.02E-13,56.07857486,21.6,,,
5.20E+08,302.2636236,28.87513164,1.11E+01,5.544,7.84E-08,2.37E-08,1.20E-08,5.80E-09,2.08E-12,9.27E-13,4.21E-13,3.02E-13,57.75026328,22.2,,,
5.30E+08,317.2121987,29.71771559,1.14E+01,5.6867,7.63E-08,2.37E-08,1.20E-08,5.79E-09,1.98E-12,9.26E-13,4.21E-13,3.02E-13,59.43543118,22.8,,,
5.40E+08,332.373562,30.56664779,1.17E+01,5.8294,7.39E-08,2.37E-08,1.20E-08,5.77E-09,1.88E-12,9.25E-13,4.20E-13,3.02E-13,61.13329558,23.4,,,
5.50E+08,347.6597655,31.42130529,1.20E+01,5.9723,7.14E-08,2.37E-08,1.20E-08,5.76E-09,1.79E-12,9.24E-13,4.20E-13,3.02E-13,62.84261058,24,,,
5.60E+08,362.9716122,32.28115913,1.23E+01,6.115,6.86E-08,2.37E-08,1.19E-08,5.75E-09,1.70E-12,9.22E-13,4.20E-13,3.02E-13,64.56231826,24.6,,,
5.70E+08,378.1966004,33.14557536,1.26E+01,6.2576,6.56E-08,2.37E-08,1.19E-08,5.73E-09,1.60E-12,9.21E-13,4.20E-13,3.02E-13,66.29115072,25.2,,,
5.80E+08,393.2123051,34.01400339,1.29E+01,6.4001,6.24E-08,2.37E-08,1.19E-08,5.72E-09,1.51E-12,9.20E-13,4.19E-13,3.02E-13,68.02800678,25.8,,,
5.90E+08,407.8870843,34.88574976,1.32E+01,6.5428,5.89E-08,2.37E-08,1.19E-08,5.70E-09,1.42E-12,9.19E-13,4.19E-13,3.02E-13,69.77149952,26.4,,,
6.00E+08,422.0827256,35.76007717,1.35E+01,6.6852,5.53E-08,2.37E-08,1.18E-08,5.69E-09,1.33E-12,9.18E-13,4.19E-13,3.02E-13,71.52015434,27,,,
6.10E+08,435.539643,36.79794187,1.39E+01,6.8554,5.09E-08,2.37E-08,1.18E-08,5.68E-09,1.24E-12,9.17E-13,4.19E-13,3.02E-13,73.59588374,27.8,,,
6.20E+08,447.9414882,37.83660806,1.42E+01,7.0265,4.65E-08,2.38E-08,1.18E-08,5.67E-09,1.15E-12,9.16E-13,4.18E-13,3.02E-13,75.67321612,28.4,,,
6.30E+08,459.1463767,38.87476102,1.46E+01,7.1965,4.19E-08,2.38E-08,1.18E-08,5.65E-09,1.06E-12,9.15E-13,4.18E-13,3.01E-13,77.74952204,29.2,,,
6.40E+08,469.0351273,39.91095567,1.50E+01,7.3655,3.72E-08,2.38E-08,1.18E-08,5.64E-09,9.77E-13,9.14E-13,4.18E-13,3.01E-13,79.82191134,30,,,
6.50E+08,477.5101045,40.94371884,1.53E+01,7.5332,3.25E-08,2.38E-08,1.17E-08,5.63E-09,8.92E-13,9.13E-13,4.18E-13,3.01E-13,81.88743768,30.6,,,
6.60E+08,484.5040237,41.97150689,1.57E+01,7.6994,2.79E-08,2.38E-08,1.17E-08,5.61E-09,8.08E-13,9.12E-13,4.17E-13,3.01E-13,83.94301378,31.4,,,
6.70E+08,489.9823239,42.99265458,1.60E+01,7.8639,2.33E-08,2.38E-08,1.17E-08,5.60E-09,7.25E-13,9.11E-13,4.17E-13,3.01E-13,85.98530916,32,,,
6.80E+08,493.9330899,44.00545774,1.64E+01,8.0262,1.89E-08,2.39E-08,1.17E-08,5.58E-09,6.44E-13,9.09E-13,4.17E-13,3.01E-13,88.01091548,32.8,,,
6.90E+08,496.3826729,45.00813233,1.68E+01,8.1868,1.45E-08,2.39E-08,1.16E-08,5.56E-09,5.64E-13,9.08E-13,4.17E-13,3.01E-13,90.01626466,33.6,,,
7.00E+08,497.3816713,45.9987884,1.71E+01,8.3433,1.04E-08,2.38E-08,1.16E-08,5.55E-09,4.86E-13,9.07E-13,4.16E-13,3.01E-13,91.9975768,34.2,,,
7.10E+08,499.9562531,47.00854409,1.74E+01,8.4931,6.14E-09,2.39E-08,1.16E-08,5.54E-09,3.98E-13,9.06E-13,4.16E-13,3.01E-13,94.01708818,34.8,,,
